   timestamp          x          y         theta        diff_angle
460.147000 -16.9933929 3.4658072 -179.1352081 0.0427399
460.748000 -17.0031586 2.9538269 -179.0731659 0.0620422
461.247000 -17.0068817 2.5279381 -179.1227112 0.0495453
461.613500 -17.0186348 2.2122698 -179.0756073 0.0471039
462.113500 -17.0191250 1.7881663 -179.1090698 0.0334625
462.480500 -17.0235901 1.4748180 -179.0853424 0.0237274
462.913500 -17.0289669 1.1055106 -179.0469208 0.0384216
463.447000 -17.0346432 0.6487905 -179.0957642 0.0488434
463.814000 -17.0386181 0.3379328 -179.0320740 0.0636902
464.180500 -17.0413437 0.0212984 -179.0957031 0.0636292
464.613500 -17.0477219 -0.3496550 -179.0955505 0.0001526
465.013500 -17.0516205 -0.6888198 -179.0700684 0.0254822
465.513500 -17.0576077 -1.1200807 -179.0031281 0.0669403
466.047000 -17.0634823 -1.5744196 -179.0547485 0.0516205
466.547000 -17.0674706 -2.0031083 -179.0852051 0.0304565
467.080500 -17.0758686 -2.4583297 -179.1100769 0.0248718
467.647000 -17.0858307 -2.9465783 -179.0717926 0.0382843
468.013500 -17.0924797 -3.2630088 -179.1003571 0.0285645
468.447000 -17.0966148 -3.6322947 -179.1628876 0.0625305
468.847000 -17.1008701 -3.9730086 -179.1502686 0.0126190
469.280500 -17.1096077 -4.3460298 -179.1869049 0.0366364
469.647000 -17.1133251 -4.6649089 -179.1593781 0.0275269
470.113500 -17.1200390 -5.0654726 -179.1550140 0.0043640
470.414500 -17.1234989 -5.3233604 -179.2138519 0.0588379
470.847000 -17.1267185 -5.6950636 -179.2070465 0.0068054
471.047500 -17.1327667 -5.8707557 -179.2082062 0.0011597
471.381000 -17.1366863 -6.1545062 -179.2211151 0.0129089
471.847000 -17.1432552 -6.5570750 -179.1740570 0.0470581
472.247000 -17.1467495 -6.8986740 -179.1378021 0.0362549
472.647000 -17.1503983 -7.2400866 -179.2293549 0.0915527
473.147000 -17.1592026 -7.6684995 -179.1819000 0.0474548
473.613500 -17.1651688 -8.0702457 -179.1780853 0.0038147
474.013500 -17.1689091 -8.4138079 -179.1185760 0.0595093
474.347000 -17.1737995 -8.7025223 -179.0422058 0.0763702
474.713500 -17.1793079 -9.0172834 -179.1152954 0.0730896
475.047000 -17.1843510 -9.3056011 -179.1184845 0.0031891
475.347000 -17.1898727 -9.5672836 -179.1434784 0.0249939
475.680500 -17.1964302 -9.8529882 -179.1596375 0.0161591
476.047000 -17.2015953 -10.1667671 -179.0690155 0.0906219
476.447000 -17.2103024 -10.5129738 -179.1066589 0.0376434
476.780500 -17.2137260 -10.7982273 -179.1242065 0.0175476
477.247000 -17.2176056 -11.1964426 -179.0673828 0.0568237
477.613500 -17.2195072 -11.5051842 -179.0683136 0.0009308
478.081000 -17.2209930 -11.9071779 -179.0353851 0.0329285
478.613500 -17.2380390 -12.3641939 -179.0477142 0.0123291
479.080500 -17.2346096 -12.7636127 -179.0746002 0.0268860
